CourseId,FacilityId,CourseName,City,State,Ranking
300626cc-6ce3-4698-b294-caf6863a35a4,D4862F8E-25E4-4B09-A296-31805486A430,Pursell Farms (FarmLinks),Sylacauga,AL,1
684101ea-fe99-48b4-9a15-bf1db63c3351,3151FD21-F4FE-4C60-82AD-FC88B9C7196F,Robert Trent Jones Golf Trail Capitol Hill (Judge),Prattville,AL,2
7a171aa3-b46c-4e75-8a20-535e0548ada6,8B621C11-3769-4E52-B7A3-DF8487CD5C69,Robert Trent Jones Golf Trail Grand National (Lake),Opelika,AL,3
37a3c407-5d3b-4b14-bfca-74ffeeb2d179,3151FD21-F4FE-4C60-82AD-FC88B9C7196F,Robert Trent Jones Golf Trail Capitol Hill (Legislator),Prattville,AL,4
08dc3b1f-d2c1-440f-ae4a-19601b537497,EB8A4BBA-F319-4537-8E3F-FFD7EDFED1BA,Robert Trent Jones Golf Trail (Ross Bridge),Hoover,AL,5
8ccd5fe8-2988-45a1-a03e-590f8b8a15ae,90BB59BA-09B6-43D9-AE90-93619C54C0DA,Robert Trent Jones Golf Trail Cambrian Ridge (Sherling/Canyon),Greenville,AL,6
9d1e3cb2-e94d-4f89-b74f-b6af59d94b6c,BC388181-DBCF-4E9F-B487-AAE0045464F2,Kiva Dunes,Gulf Shores,AL,7
8b4f0ec9-69ec-4456-b21f-0ff338a768be,1E0FAEDD-71EF-4C94-AA5F-0567C6BD35F8,Robert Trent Jones Golf Trail Magnolia Grove (Falls),Mobile,AL,8
ebe83794-928b-47f0-8a83-8f4587baebe4,8B621C11-3769-4E52-B7A3-DF8487CD5C69,Robert Trent Jones Golf Trail Grand National (Links),Opelika,AL,9
3ab4c99c-dd3e-4c6c-9d56-962ca29506f8,1E0FAEDD-71EF-4C94-AA5F-0567C6BD35F8,Robert Trent Jones Golf Trail Magnolia Grove (The Crossings),Mobile,AL,10
321e641d-c543-435e-9ea0-900a8e9d6de8,958892A5-FC03-4392-9351-BCC90BC168D6,Anchorage Golf Course,Anchorage,AK,1
cfa0a17c-d021-4a8e-9711-a28d41282039,5992A260-080D-4F99-A72A-96DF1A61824D,Settlers Bay,Wasilla,AK,2
714f4a9e-531e-4cd5-9c02-843236dd1550,14B64734-A750-4070-A4CF-54C9446A8EF0,Chena Bend,Fairbanks,AK,3
1acef68e-a47e-438f-8f6f-6389c2de0d0a,4A9C705C-AF8E-47F9-8D68-9B7F7B8B8C00,Moose Run (Creek),Fort Richardson,AK,4
9b0f2538-cf04-448a-b395-60292a7a87f8,44A880A9-7886-4B90-9E52-B8CAAC9EB529,Palmer Golf Course,Palmer,AK,5
3f9cc30c-32b5-4c12-bbf5-d14af9105f3c,25F4C05A-869C-403F-A5C0-8B05B20B7C32,We-Ko-Pa (Saguaro),Fort McDowell,AZ,1
46b44c85-98b7-4216-9615-a76fd04d9ea9,46B56720-3099-4B90-9E73-D88AADE97066,Quintero,Peoria,AZ,2
4df804b9-f88c-4ad1-878c-0db8d740ef23,48B9E391-8B9B-4D92-9683-549175FDCF32,Wickenburg Ranch (Big Wick),Wickenburg,AZ,3
